title,cat,valeur
02 The Avener,artist,1
#220219masic,event,1
#220219masic,moment,0
#OZ,artist,1
(pl François) Sénégal,event,0
(pl François) Sénégal,genre,1
...VASCO 7,artist,0
.ROCK _ Cold wave,period,0
.y Ava Max banger no cap y.,top,1
0 song bird,genre,0
01 Arcadien,genre,0
100% Pandore,artist,1
07 Anciens Favoris,moment,1
07 Anciens Favoris,top,1
1017,moment,0
100% Riles,artist,1
Adam & Eve,artist,1
Afro - Deep Forest,artist,1
Block party,artist,0
2 - Love Playlist,genre,0
2000’s classics,top,1
2018 Blind test,moment,1
2018 News,moment,1
2018 News,period,0
2018 sa mère,top,0
2023 et des gros banjés,top,1
Chelsea Wolfe ep,artist,1
312020,event,1
312020,moment,0
31 Pequenito project,context,0
31 Pequenito project,event,0
5 🎹,genre,1
6h Summer,context,1
6h Summer,moment,0
6h Summer,mood,1
Concert TDH Glasgow,artist,1
Concorde,artist,1
A écouter par moi,person,0
A écouter par moi,top,0
A écouter pour se relaxer,context,1
A-Plk Only 🎧🍯,top,0
DJAX RE UP,artist,1
A1. Rap Chill (déc 2017),mood,1
Dinos ✨,artist,1
Afon,mood,1
Africa,artist,0
Africa,genre,1
Eurythmique,artist,1
Fifth Harmony,artist,1
Ghibli,artist,1
All at once,artist,0
Allemagne,event,0
Allemagne,genre,1
Amy,artist,1
Amy,person,0
Anniv Oldies,period,1
Anniv Oldies,person,0
Gladys night,artist,1
JJ,artist,1
Key Largo,artist,1
LBDL,artist,1
Laeti,artist,1
Mica,artist,0
BO Mylène Farmer,genre,0
BOUM,context,1
BOUM,mood,0
BTB,artist,0
Muse eurockeennes 2022,artist,1
Nike ta mère,artist,0
Badass Bass,mood,0
Banners,artist,1
Baw,artist,1
Pascale picard,artist,1
Samia,artist,1
Bemer on the road VI,artist,0
Bemer on the road VI,context,1
Bemer on the road VI,person,0
Best Of Haendel,top,0
Best Outlander,artist,1
Best Outlander,genre,0
Shak,artist,0
Blind 2,context,1
Blind Test - Soirée Bad,context,0
Blind Test - Soirée Bad,event,1
Soso madness,artist,1
Surfaces - chill music,artist,1
Block party,event,0
Block party,genre,1
TSN,artist,1
Bonne nuit,mood,0
Tool Arena,artist,1
Booba morceaux les plus populaires 25/05/2017,top,0
USN PL Soleil Noir,artist,1
Boum Boum boum,genre,1
Boum Boum boum,mood,0
"Break it, Drop it!!",genre,1
"Break it, Drop it!!",mood,0
Brossier,artist,1
COLORS,genre,0
CSE Blind Test,context,0
CSE Blind Test,event,1
Calme posé,context,1
Calme/Relaxation/Bebe,context,1
Calme/Relaxation/Bebe,person,1
Calming Music for Anxiety / Stress / HSP (Instrume,genre,1
Carannie,person,0
blade P,artist,1
da3m0ns: ange noir / FK UR SINS,artist,0
enemy,artist,0
Chansons d'amour,genre,0
Chansons d'amour,mood,1
CharlElie Couture,artist,1
CharlElie Couture,context,0
CharlElie Couture,person,0
gonna be a big man someday,artist,0
Chœur NDG,context,0
inigo montoya,artist,1
lia's songs,artist,0
Classic Shit Vol.5,genre,0
like a hobo,artist,1
Classic Shit Vol.5,top,1
Classic de films,top,1
Clementine Comptine,context,0
mtbrd,artist,1
obx,artist,1
Cmusique allemande de Schutz à Bach,artist,1
Compile 2012 - 2104,top,0
train2vie,artist,1
